Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Best Epoch
37,0.002222169664825131,99.9375,0.06054740059110554,98.95,17
38,0.0010996557254294714,99.9375,0.07017474372161132,98.85,17
39,0.001088237843000428,99.9375,0.09305660841970632,98.35,17
40,0.003002340738952398,99.9375,0.08574394723806245,98.3,17
41,0.00258969283311842,99.875,0.06772500783101021,98.7,17
42,0.0012049161221301574,99.90625,0.07429249053523733,98.4,17
43,0.0016325190475174622,99.9375,0.062078388645094205,98.8,17
44,0.004626714211575518,99.875,0.0919419752023278,98.25,17
45,0.0013541062460822673,99.96875,0.09171313847941275,98.25,17
46,0.0015392375634273492,99.96875,0.07694964675286346,98.4,17
47,0.0003035960559556372,100.0,0.07669950507571792,98.4,17
48,0.0035721180048884802,99.96875,0.06852849801199602,98.65,17
49,0.0011231437167228365,99.96875,0.06474494951322524,98.75,17
50,0.001193457286201749,99.96875,0.08403274758216656,98.3,17
51,0.0014544143949319732,99.9375,0.07857950842383506,98.35,17
52,0.0007390931591662309,99.96875,0.08834405179585975,98.25,17
53,0.0020049147452005658,99.90625,0.07905500896609836,98.4,17
54,0.0007792948047421789,99.96875,0.07377059070560145,98.45,17
55,0.0032653754901429723,99.90625,0.07992965004910885,98.4,17
56,0.0008952791948966166,99.96875,0.08404914679300607,98.35,17
57,0.0002978277913389604,100.0,0.0810596423613644,98.4,17
58,0.0006982123487354386,99.96875,0.08351192066247431,98.35,17
59,0.0003298079001809384,100.0,0.08147826755382191,98.4,17
60,0.0011585972311103632,99.9375,0.08085871492103583,98.4,17
61,0.002418728187010757,99.9375,0.07793179060907791,98.4,17
62,0.0010566904955268796,99.96875,0.07927288625283616,98.4,17
63,0.001768370669177237,99.9375,0.07996704153984091,98.4,17
64,0.0006705566014771591,99.9375,0.08088970943386924,98.4,17
65,0.0019503530363569155,99.90625,0.07547639139689115,98.45,17
66,0.0017881064430066828,99.9375,0.07723957098869119,98.4,17
67,0.0013728653241059164,99.9375,0.0780734624624694,98.4,17
68,0.0003621585636084035,99.96875,0.07772562015746778,98.4,17
69,0.0008386149234042506,99.9375,0.0777449929679588,98.4,17
70,0.002632821309148312,99.96875,0.07813794298112907,98.4,17
71,0.0005961073111418358,100.0,0.07946933087560103,98.4,17
72,0.0008462264907481654,99.96875,0.07918377945479528,98.4,17
73,0.0003113509175769025,100.0,0.07867605978726556,98.4,17
74,0.0006822553807056408,99.96875,0.07918785904092016,98.4,17
75,0.0006108549980923072,99.96875,0.07841622408993948,98.4,17
76,0.0005955306610696454,100.0,0.07780010750243821,98.4,17
77,0.000242966383883072,100.0,0.07733154391160008,98.4,17
78,0.0001600822474291874,100.0,0.0772332604377965,98.4,17
79,0.0002557646892309151,100.0,0.07707677350135862,98.4,17
80,0.0009769447506034368,100.0,0.076310292386485,98.45,17
81,0.0013782167810761693,99.9375,0.07625573978026984,98.45,17
82,0.001798161792999835,99.9375,0.07537082943953885,98.45,17
83,0.00039161889470946677,100.0,0.07561301805819051,98.45,17
84,0.0030732930681375593,99.96875,0.07558127744358091,98.45,17
85,0.001061082682053467,99.9375,0.07532309836037951,98.45,17
86,0.00041597670914171657,100.0,0.07536518574592457,98.45,17
87,0.0010612999709054094,99.96875,0.07515748402428096,98.45,17
88,0.00021174341081000135,100.0,0.0751420272607337,98.45,17
89,0.001700555336525298,99.9375,0.07516551711487347,98.45,17
90,0.0010472072318803783,99.96875,0.07511840478066853,98.45,17
91,0.0021528651540717193,99.9375,0.07500510698183809,98.45,17
92,0.0015546667102243105,99.9375,0.07499850336355558,98.45,17
93,0.0018710442902764868,99.96875,0.0749139956899067,98.45,17
94,0.0010388565090500635,99.9375,0.0749107682650145,98.45,17
95,0.0012172082212251211,99.9375,0.07507054519993137,98.45,17
96,0.00025891459125837457,100.0,0.07511529008471672,98.45,17
97,0.0013985120636711202,99.96875,0.07523125735807326,98.45,17
98,0.0010092459057361048,99.96875,0.07516527205621724,98.45,17
99,0.0007603928726945952,99.96875,0.07511715825204698,98.45,17
100,0.0028135844597750293,99.9375,0.0750540003843667,98.45,17
